side_dist = (1.67, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.11, 1.00)
side_dist = (1.67, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.11, 1.00)
side_dist = (1.68, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.12, 1.00)
side_dist = (1.68, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.12, 1.00)
side_dist = (1.68, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.12, 1.00)
side_dist = (1.69, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.13, 1.00)
side_dist = (1.69, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.13, 1.00)
side_dist = (1.70, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.13, 1.00)
side_dist = (1.70, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.13, 1.00)
side_dist = (1.71, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.14, 1.00)
side_dist = (1.71, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.14, 1.00)
side_dist = (1.71, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.14, 1.00)
side_dist = (1.72, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.15, 1.00)
side_dist = (1.72, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.15, 1.00)
side_dist = (1.73, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.15, 1.00)
side_dist = (1.73, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.15, 1.00)
side_dist = (1.74, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.16, 1.00)
side_dist = (1.74, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.16, 1.00)
side_dist = (1.75, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.16, 1.00)
side_dist = (1.75, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.17, 1.00)
side_dist = (1.75, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.17, 1.00)
side_dist = (1.76, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.17, 1.00)
side_dist = (1.76, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.18, 1.00)
side_dist = (1.77, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.18, 1.00)
side_dist = (1.77, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.18, 1.00)
side_dist = (1.78, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.19, 1.00)
side_dist = (1.78, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.19, 1.00)
side_dist = (1.79, 2.50), side = Y, perp_dist = 1.50,pos = (15.50, 4.50) ray_pos = (16, 2), delta_dis = (1.19, 1.00)
