side_dist = (2.50, 1.50), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.00)
side_dist = (2.50, 1.51), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.02)
side_dist = (2.50, 1.52), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.04)
side_dist = (2.50, 1.53), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.07)
side_dist = (2.50, 1.54), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.09)
side_dist = (2.50, 1.55), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.11)
side_dist = (2.50, 1.56), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.13)
side_dist = (2.50, 1.58), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.15)
side_dist = (2.50, 1.59), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.17)
side_dist = (2.50, 1.60), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.20)
side_dist = (2.50, 1.61), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.22)
side_dist = (2.50, 1.62), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.24)
side_dist = (2.50, 1.63), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.27)
side_dist = (2.50, 1.65), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.29)
side_dist = (2.50, 1.66), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.32)
side_dist = (2.50, 1.67), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.34)
side_dist = (2.50, 1.68), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.37)
side_dist = (2.50, 1.70), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.39)
side_dist = (2.50, 1.71), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.42)
side_dist = (2.50, 1.72), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.45)
side_dist = (2.50, 1.74), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.47)
side_dist = (2.50, 1.75), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.50)
side_dist = (2.50, 1.76), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.53)
side_dist = (2.50, 1.78), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.56)
side_dist = (2.50, 1.79), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.58)
side_dist = (2.50, 1.81), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.61)
side_dist = (2.50, 1.82), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.64)
side_dist = (2.50, 1.84), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.67)
side_dist = (2.50, 1.85), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.70)
side_dist = (2.50, 1.87), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.73)
side_dist = (2.50, 1.88), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.77)
side_dist = (2.50, 1.90), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.80)
side_dist = (2.50, 1.92), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.83)
side_dist = (2.50, 1.93), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.86)
side_dist = (2.50, 1.95), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.90)
side_dist = (2.50, 1.97), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.93)
side_dist = (2.50, 1.98), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 3.97)
side_dist = (2.50, 2.00), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.00)
side_dist = (2.50, 2.02), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.04)
side_dist = (2.50, 2.04), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.08)
side_dist = (2.50, 2.06), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.12)
side_dist = (2.50, 2.08), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.15)
side_dist = (2.50, 2.10), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.19)
side_dist = (2.50, 2.12), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.23)
side_dist = (2.50, 2.14), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.27)
side_dist = (2.50, 2.16), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.31)
side_dist = (2.50, 2.18), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.36)
side_dist = (2.50, 2.20), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.40)
side_dist = (2.50, 2.22), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.44)
side_dist = (2.50, 2.24), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.49)
side_dist = (2.50, 2.27), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.54)
side_dist = (2.50, 2.29), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.58)
side_dist = (2.50, 2.31), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.63)
